,method,num_clusters,sse,silhouette,calinski-harabasz,davies-bouldin,eps,min_sample,linkage,threshold,branching_factor
19,birch,29,,0.07010870443405143,518.9996953795295,1.5672176963177835,,,,0.43,45.0
20,birch,30,,0.06918386225773529,509.38206861631454,1.617048251680401,,,,0.43,45.0
21,birch,31,,0.0700992595853698,499.65838203103453,1.6050533015455972,,,,0.43,45.0
22,birch,32,,0.07245342783837748,490.4794723199492,1.6192257811408477,,,,0.43,45.0
23,birch,33,,0.07219779855553561,481.733894200982,1.6058848627505726,,,,0.43,45.0
24,birch,34,,0.07237678601471656,473.6324833798106,1.583335818104634,,,,0.43,45.0
25,birch,10,,0.10013045520412946,968.7619441849836,1.5821463824166488,,,,0.43,46.0
26,birch,11,,0.10312697524385009,924.9147284762415,1.4602135254557973,,,,0.43,46.0
27,birch,12,,0.10776285775973347,892.0164015751573,1.380333095220737,,,,0.43,46.0
28,birch,13,,0.08229617816379524,845.9977222187559,1.4997740966620883,,,,0.43,46.0
29,birch,14,,0.08621817083077037,808.5928142782411,1.5025641297861767,,,,0.43,46.0
30,birch,15,,0.08717668977747278,775.5967882688559,1.4826687982254938,,,,0.43,46.0
31,birch,16,,0.08374252590241286,745.8788055896196,1.5572814232455705,,,,0.43,46.0
32,birch,17,,0.08367103329782231,718.1858975199741,1.5374425146307824,,,,0.43,46.0
33,birch,18,,0.08431615165868275,693.7800605417207,1.492613236819369,,,,0.43,46.0
34,birch,19,,0.08477477665671973,671.5075719102714,1.4957477143491946,,,,0.43,46.0
35,birch,20,,0.08598942121055753,650.9545858700667,1.507505918770753,,,,0.43,46.0
36,birch,21,,0.07646038246695383,632.0422193450546,1.6056828053028553,,,,0.43,46.0
37,birch,22,,0.07814110873639289,614.2181973391926,1.5887751100173644,,,,0.43,46.0
38,birch,23,,0.07945533624012248,597.84637904674,1.5408569938173335,,,,0.43,46.0
39,birch,24,,0.0794706463190003,582.11903959416,1.556768324948906,,,,0.43,46.0
40,birch,25,,0.06565705081221573,568.5666596710137,1.613086671559548,,,,0.43,46.0
41,birch,26,,0.06856422893418655,554.4706686108891,1.6156541910744968,,,,0.43,46.0
42,birch,27,,0.0700320376498931,541.4419834038073,1.5851428983367117,,,,0.43,46.0
43,birch,28,,0.06843224798355264,529.7701040827163,1.5733369512832371,,,,0.43,46.0
44,birch,29,,0.06783078774115246,518.7457426640866,1.6282729928297113,,,,0.43,46.0
45,birch,30,,0.06750016761245355,507.61180252021524,1.6127980757390457,,,,0.43,46.0
46,birch,31,,0.05849697423638941,497.68807732069007,1.594237397138088,,,,0.43,46.0
47,birch,32,,0.0586652689313664,488.205666803442,1.5706430205021684,,,,0.43,46.0
48,birch,33,,0.05788514126385151,479.52722247758226,1.6044286600121658,,,,0.43,46.0
49,birch,34,,0.05908910714652878,471.0822191251221,1.5901045694646276,,,,0.43,46.0
50,birch,10,,0.1059056225786797,976.363491341426,1.4458464142734206,,,,0.43,47.0
51,birch,11,,0.10484465498475541,931.7340052301887,1.3658411525809515,,,,0.43,47.0
52,birch,12,,0.10087613257881697,893.5313909755289,1.3788434502982652,,,,0.43,47.0
53,birch,13,,0.10146584223230724,851.4892507695427,1.4559457220240584,,,,0.43,47.0
54,birch,14,,0.10227942356254834,811.5836661329196,1.436567278689613,,,,0.43,47.0
55,birch,15,,0.09090345318486502,777.7592596177547,1.6054069329415148,,,,0.43,47.0
56,birch,16,,0.09163014848240152,747.0138115452065,1.6682017907980509,,,,0.43,47.0
57,birch,17,,0.09158901977103687,719.2924080286608,1.6418381546801755,,,,0.43,47.0
58,birch,18,,0.09223940108769833,694.8622868678204,1.5912091190882405,,,,0.43,47.0
59,birch,19,,0.09223823595511862,670.545167458226,1.5849941258295868,,,,0.43,47.0
60,birch,20,,0.09405302425546339,648.8878060175856,1.5862877372653093,,,,0.43,47.0
61,birch,21,,0.09110507612880996,629.7858340408546,1.5944878885038607,,,,0.43,47.0
62,birch,22,,0.09254882589698624,611.461851023699,1.5442847361819168,,,,0.43,47.0
63,birch,23,,0.0672662587261255,596.833070256553,1.6171214467371735,,,,0.43,47.0
64,birch,24,,0.06858121122062259,581.7070430004586,1.6097060921266797,,,,0.43,47.0
65,birch,25,,0.07110800890035888,568.0647697040849,1.6412555915504254,,,,0.43,47.0
66,birch,26,,0.07161341040389374,555.4871677850986,1.672089525563406,,,,0.43,47.0
67,birch,27,,0.0702207248343723,543.3810193388721,1.668783917473326,,,,0.43,47.0
68,birch,28,,0.0734171302921906,532.1116138244138,1.6881085736396704,,,,0.43,47.0
69,birch,29,,0.07365319207436334,521.7247788237845,1.6652610181030565,,,,0.43,47.0
70,birch,30,,0.07278936256956314,511.877291449405,1.6458023047902373,,,,0.43,47.0
71,birch,31,,0.07490990107943156,502.01345637856537,1.6450303976307237,,,,0.43,47.0
72,birch,32,,0.07464608016483873,492.51072299762075,1.6304400618354224,,,,0.43,47.0
73,birch,33,,0.07485157256678159,483.7166935450686,1.6064636158643086,,,,0.43,47.0
74,birch,34,,0.07641686881860359,475.5505327719563,1.5779220454994676,,,,0.43,47.0
75,birch,10,,0.14071966960666757,988.4349013322437,1.230421627721279,,,,0.43,48.0
76,birch,11,,0.11007703734010534,933.3822699633291,1.2983191815281225,,,,0.43,48.0
77,birch,12,,0.11134935885487653,882.169056460897,1.2828370211618814,,,,0.43,48.0
78,birch,13,,0.11143175682216752,834.4116441023561,1.2796516832676703,,,,0.43,48.0
79,birch,14,,0.07690093568967017,795.930030046171,1.445956036212983,,,,0.43,48.0
80,birch,15,,0.07543984523399444,763.0865651078361,1.6064643632971864,,,,0.43,48.0
81,birch,16,,0.0741418481952963,734.0651069461147,1.6590953172253642,,,,0.43,48.0
82,birch,17,,0.07478233150538804,705.9833612828514,1.604472975860657,,,,0.43,48.0
83,birch,18,,0.07797918924207516,681.7482939866215,1.6369118024018117,,,,0.43,48.0
84,birch,19,,0.07780881649111583,660.7035618577085,1.6149323162339129,,,,0.43,48.0
85,birch,20,,0.07750926471346427,641.6785286295835,1.6107714686113153,,,,0.43,48.0
86,birch,21,,0.07387243841201123,624.9627746645277,1.6437573065383329,,,,0.43,48.0
87,birch,22,,0.07495267522868054,609.8332510207222,1.6580009546622967,,,,0.43,48.0
88,birch,23,,0.07636768754223232,593.5352019446229,1.6072191104344182,,,,0.43,48.0
89,birch,24,,0.07872242413471348,578.6104022415542,1.6106426775779772,,,,0.43,48.0
90,birch,25,,0.07953004598638111,564.1686368588423,1.5923596632646042,,,,0.43,48.0
91,birch,26,,0.05912719848706127,551.699195051253,1.6416835904365388,,,,0.43,48.0
92,birch,27,,0.05990946104145975,539.3713825985757,1.6450318009120835,,,,0.43,48.0
